category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,padjust
GO:0048686,1,0.976823708,0,3,regulation of sprouting of injured axon,BP,1
GO:0048687,1,0.976823708,0,3,positive regulation of sprouting of injured axon,BP,1
GO:0048688,1,0.990503689,0,1,negative regulation of sprouting of injured axon,BP,1
GO:0048689,1,0.990503689,0,1,formation of growth cone in injured axon,BP,1
GO:0048690,1,0.986189916,0,2,regulation of axon extension involved in regeneration,BP,1
GO:0048691,1,0.986189916,0,2,positive regulation of axon extension involved in regeneration,BP,1
GO:0048693,1,0.98802625,0,2,regulation of collateral sprouting of injured axon,BP,1
GO:0048694,1,0.98802625,0,2,positive regulation of collateral sprouting of injured axon,BP,1
GO:0048696,1,0.988662931,0,1,regulation of collateral sprouting in absence of injury,BP,1
GO:0048698,1,0.988662931,0,1,negative regulation of collateral sprouting in absence of injury,BP,1
GO:0048701,1,0.788749061,0,23,embryonic cranial skeleton morphogenesis,BP,1
GO:0048702,1,0.945762742,0,5,embryonic neurocranium morphogenesis,BP,1
GO:0048703,1,0.96238988,0,4,embryonic viscerocranium morphogenesis,BP,1
GO:0048704,1,0.674546772,0,37,embryonic skeletal system morphogenesis,BP,1
GO:0048706,1,0.567280987,0,53,embryonic skeletal system development,BP,1
GO:0048714,1,0.847783674,0,15,positive regulation of oligodendrocyte differentiation,BP,1
GO:0048730,1,0.833880763,0,17,epidermis morphogenesis,BP,1
GO:0048733,1,0.944291626,0,6,sebaceous gland development,BP,1
GO:0048741,1,0.789653572,0,21,skeletal muscle fiber development,BP,1
GO:0048742,1,0.955486995,0,4,regulation of skeletal muscle fiber development,BP,1
GO:0048745,1,0.848810397,0,16,smooth muscle tissue development,BP,1
GO:0048752,1,0.983772086,0,2,semicircular canal morphogenesis,BP,1
GO:0048753,1,0.880647312,0,12,pigment granule organization,BP,1
GO:0048755,1,0.92037337,0,8,branching morphogenesis of a nerve,BP,1
GO:0048757,1,0.904242968,0,9,pigment granule maturation,BP,1
GO:0048773,1,0.988662931,0,1,erythrophore differentiation,BP,1
GO:0048790,1,0.97808535,0,2,maintenance of presynaptic active zone structure,BP,1
GO:0048791,1,0.978929447,0,2,calcium ion-regulated exocytosis of neurotransmitter,BP,1
GO:0048792,1,0.988662931,0,1,spontaneous exocytosis of neurotransmitter,BP,1
GO:0048793,1,0.966769656,0,3,pronephros development,BP,1
GO:0048799,1,0.888092573,0,12,animal organ maturation,BP,1
GO:0048806,1,0.732567685,0,30,genitalia development,BP,1
GO:0048807,1,0.988662706,0,1,female genitalia morphogenesis,BP,1
GO:0048818,1,0.988754356,0,1,positive regulation of hair follicle maturation,BP,1
GO:0048819,1,0.97754701,0,2,regulation of hair follicle maturation,BP,1
GO:0048820,1,0.93244706,0,7,hair follicle maturation,BP,1
GO:0048822,1,0.980511952,0,2,enucleate erythrocyte development,BP,1
GO:0048840,1,0.927040928,0,7,otolith development,BP,1
GO:0048843,1,0.860629627,0,15,negative regulation of axon extension involved in axon guidance,BP,1
GO:0048853,1,0.930496031,0,7,forebrain morphogenesis,BP,1
GO:0048854,1,0.787059017,0,23,brain morphogenesis,BP,1
GO:0048857,1,0.915112354,0,8,neural nucleus development,BP,1
GO:0048859,1,0.988662926,0,1,formation of anatomical boundary,BP,1
GO:0048861,1,0.966973336,0,3,leukemia inhibitory factor signaling pathway,BP,1
GO:0048865,1,0.955413123,0,4,stem cell fate commitment,BP,1
GO:0048866,1,0.97745545,0,2,stem cell fate specification,BP,1
GO:0048867,1,0.988662898,0,1,stem cell fate determination,BP,1
GO:0048877,1,0.988732867,0,1,homeostasis of number of retina cells,BP,1
GO:0048882,1,0.988663763,0,1,lateral line development,BP,1
GO:0048884,1,0.988663763,0,1,neuromast development,BP,1
GO:0048886,1,0.988663763,0,1,neuromast hair cell differentiation,BP,1
GO:0048925,1,0.988663763,0,1,lateral line system development,BP,1
GO:0048934,1,0.939251916,0,6,peripheral nervous system neuron differentiation,BP,1
GO:0048935,1,0.939251916,0,6,peripheral nervous system neuron development,BP,1
GO:0048936,1,0.977453368,0,2,peripheral nervous system neuron axonogenesis,BP,1
GO:0050000,1,0.610751219,0,45,chromosome localization,BP,1
GO:0050427,1,0.923800054,0,7,3'-phosphoadenosine 5'-phosphosulfate metabolic process,BP,1
GO:0050428,1,0.977963972,0,2,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,BP,1
GO:0050432,1,0.756314921,0,25,catecholamine secretion,BP,1
GO:0050433,1,0.789980966,0,21,regulation of catecholamine secretion,BP,1
GO:0050435,1,0.680862305,0,35,amyloid-beta metabolic process,BP,1
GO:0050650,1,0.863894791,0,13,chondroitin sulfate proteoglycan biosynthetic process,BP,1
GO:0050651,1,0.957221581,0,4,dermatan sulfate proteoglycan biosynthetic process,BP,1
GO:0050653,1,0.988664794,0,1,"chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process",BP,1
GO:0050654,1,0.828400374,0,17,chondroitin sulfate proteoglycan metabolic process,BP,1
GO:0050655,1,0.935654121,0,6,dermatan sulfate proteoglycan metabolic process,BP,1
GO:0050665,1,0.856741588,0,14,hydrogen peroxide biosynthetic process,BP,1
GO:0050666,1,0.988662917,0,1,regulation of homocysteine metabolic process,BP,1
GO:0050667,1,0.875259969,0,12,homocysteine metabolic process,BP,1
GO:0050668,1,0.988662917,0,1,positive regulation of homocysteine metabolic process,BP,1
GO:0050672,1,0.557712944,0,53,negative regulation of lymphocyte proliferation,BP,1
GO:0050686,1,0.722012685,0,29,negative regulation of mRNA processing,BP,1
GO:0050687,1,0.790362105,0,21,negative regulation of defense response to virus,BP,1
GO:0050689,1,0.967694964,0,3,negative regulation of defense response to virus by host,BP,1
GO:0050690,1,0.988662831,0,1,regulation of defense response to virus by virus,BP,1
GO:0050702,1,0.690795814,0,33,interleukin-1 beta secretion,BP,1
GO:0050703,1,0.956066964,0,4,interleukin-1 alpha secretion,BP,1
GO:0050704,1,0.696001149,0,32,regulation of interleukin-1 secretion,BP,1
GO:0050705,1,0.967033209,0,3,regulation of interleukin-1 alpha secretion,BP,1
GO:0050706,1,0.720147496,0,29,regulation of interleukin-1 beta secretion,BP,1
GO:0050709,1,0.380953829,0,87,negative regulation of protein secretion,BP,1
GO:0050710,1,0.669920443,0,36,negative regulation of cytokine secretion,BP,1
GO:0050711,1,0.912827339,0,8,negative regulation of interleukin-1 secretion,BP,1
GO:0050713,1,0.933878218,0,6,negative regulation of interleukin-1 beta secretion,BP,1
GO:0050716,1,0.762618233,0,24,positive regulation of interleukin-1 secretion,BP,1
GO:0050717,1,0.967033209,0,3,positive regulation of interleukin-1 alpha secretion,BP,1
GO:0050718,1,0.771245952,0,23,positive regulation of interleukin-1 beta secretion,BP,1
GO:0050720,1,0.966372435,0,3,interleukin-1 beta biosynthetic process,BP,1
GO:0050722,1,0.966372435,0,3,regulation of interleukin-1 beta biosynthetic process,BP,1
GO:0050725,1,0.966372435,0,3,positive regulation of interleukin-1 beta biosynthetic process,BP,1
GO:0050746,1,0.903898081,0,9,regulation of lipoprotein metabolic process,BP,1
GO:0050747,1,0.945821952,0,5,positive regulation of lipoprotein metabolic process,BP,1
GO:0050748,1,0.977741314,0,2,negative regulation of lipoprotein metabolic process,BP,1
GO:0050755,1,0.93425563,0,6,chemokine metabolic process,BP,1
GO:0050757,1,0.988680233,0,1,thymidylate synthase biosynthetic process,BP,1
GO:0050758,1,0.988680233,0,1,regulation of thymidylate synthase biosynthetic process,BP,1
GO:0050760,1,0.988680233,0,1,negative regulation of thymidylate synthase biosynthetic process,BP,1
GO:0050764,1,0.436513299,0,76,regulation of phagocytosis,BP,1
GO:0050765,1,0.811948101,0,19,negative regulation of phagocytosis,BP,1
GO:0050766,1,0.549535895,0,55,positive regulation of phagocytosis,BP,1
GO:0050771,1,0.671723453,0,39,negative regulation of axonogenesis,BP,1
GO:0050774,1,0.868726168,0,13,negative regulation of dendrite morphogenesis,BP,1
GO:0050777,1,0.343973962,0,95,negative regulation of immune response,BP,1
GO:0050787,1,0.977453198,0,2,detoxification of mercury ion,BP,1
GO:0050798,1,0.729793222,0,28,activated T cell proliferation,BP,1
GO:0050805,1,0.666268152,0,38,negative regulation of synaptic transmission,BP,1
GO:0050812,1,0.966370074,0,3,regulation of acyl-CoA biosynthetic process,BP,1
GO:0050818,1,0.488410277,0,64,regulation of coagulation,BP,1
GO:0050819,1,0.644651742,0,39,negative regulation of coagulation,BP,1
GO:0050820,1,0.764674033,0,24,positive regulation of coagulation,BP,1
GO:0050822,1,0.988662909,0,1,peptide stabilization,BP,1
GO:0050823,1,0.988662909,0,1,peptide antigen stabilization,BP,1
GO:0050826,1,0.988662931,0,1,response to freezing,BP,1
GO:0050829,1,0.778857965,0,22,defense response to Gram-negative bacterium,BP,1
GO:0050830,1,0.647221153,0,39,defense response to Gram-positive bacterium,BP,1
GO:0050831,1,0.988663199,0,1,male-specific defense response to bacterium,BP,1
GO:0050832,1,0.854926757,0,14,defense response to fungus,BP,1
GO:0050847,1,0.915251636,0,8,progesterone receptor signaling pathway,BP,1
GO:0050848,1,0.512395287,0,63,regulation of calcium-mediated signaling,BP,1
GO:0050849,1,0.818809173,0,19,negative regulation of calcium-mediated signaling,BP,1
GO:0050850,1,0.70967986,0,32,positive regulation of calcium-mediated signaling,BP,1
GO:0050851,1,0.354285453,0,93,antigen receptor-mediated signaling pathway,BP,1
GO:0050852,1,0.461900267,0,69,T cell receptor signaling pathway,BP,1
GO:0050853,1,0.694601835,0,33,B cell receptor signaling pathway,BP,1
GO:0050854,1,0.654368713,0,38,regulation of antigen receptor-mediated signaling pathway,BP,1
GO:0050855,1,0.848415483,0,15,regulation of B cell receptor signaling pathway,BP,1
GO:0050856,1,0.74554667,0,26,regulation of T cell receptor signaling pathway,BP,1
GO:0050857,1,0.856744876,0,14,positive regulation of antigen receptor-mediated signaling pathway,BP,1
GO:0050858,1,0.799412936,0,20,negative regulation of antigen receptor-mediated signaling pathway,BP,1
GO:0050859,1,0.924860374,0,7,negative regulation of B cell receptor signaling pathway,BP,1
GO:0050860,1,0.854627866,0,14,negative regulation of T cell receptor signaling pathway,BP,1
GO:0050861,1,0.936260711,0,6,positive regulation of B cell receptor signaling pathway,BP,1
GO:0050862,1,0.913264112,0,8,positive regulation of T cell receptor signaling pathway,BP,1
GO:0050868,1,0.431259926,0,75,negative regulation of T cell activation,BP,1
GO:0050869,1,0.797728497,0,21,negative regulation of B cell activation,BP,1
GO:0050872,1,0.886897786,0,12,white fat cell differentiation,BP,1
GO:0050873,1,0.716760217,0,30,brown fat cell differentiation,BP,1
GO:0050879,1,0.705485143,0,33,multicellular organismal movement,BP,1
GO:0050881,1,0.705485143,0,33,musculoskeletal movement,BP,1
GO:0050882,1,0.926548887,0,8,voluntary musculoskeletal movement,BP,1
GO:0050883,1,0.988662898,0,1,"musculoskeletal movement, spinal reflex action",BP,1
GO:0050884,1,0.905909665,0,9,neuromuscular process controlling posture,BP,1
GO:0050885,1,0.727641011,0,30,neuromuscular process controlling balance,BP,1
GO:0050893,1,0.988662889,0,1,sensory processing,BP,1
GO:0050901,1,0.856941999,0,14,leukocyte tethering or rolling,BP,1
GO:0050902,1,0.97762751,0,2,leukocyte adhesive activation,BP,1
GO:0050904,1,0.945782283,0,5,diapedesis,BP,1
GO:0050905,1,0.538545604,0,59,neuromuscular process,BP,1
GO:0050906,1,0.64495442,0,40,detection of stimulus involved in sensory perception,BP,1
GO:0050907,1,0.882272861,0,11,detection of chemical stimulus involved in sensory perception,BP,1
GO:0050908,1,0.940345923,0,6,detection of light stimulus involved in visual perception,BP,1
GO:0050910,1,0.910700186,0,9,detection of mechanical stimulus involved in sensory perception of sound,BP,1
GO:0050911,1,0.97754645,0,2,detection of chemical stimulus involved in sensory perception of smell,BP,1
GO:0050912,1,0.912831255,0,8,detection of chemical stimulus involved in sensory perception of taste,BP,1
GO:0050913,1,0.923269212,0,7,sensory perception of bitter taste,BP,1
GO:0050916,1,0.988662913,0,1,sensory perception of sweet taste,BP,1
GO:0050917,1,0.966407891,0,3,sensory perception of umami taste,BP,1
GO:0050919,1,0.773646889,0,25,negative chemotaxis,BP,1
GO:0050923,1,0.994495178,0,1,regulation of negative chemotaxis,BP,1
GO:0050925,1,0.994495178,0,1,negative regulation of negative chemotaxis,BP,1
GO:0050931,1,0.751835419,0,26,pigment cell differentiation,BP,1
GO:0050932,1,0.931059232,0,7,regulation of pigment cell differentiation,BP,1
GO:0050942,1,0.952544441,0,5,positive regulation of pigment cell differentiation,BP,1
GO:0050951,1,0.882587975,0,11,sensory perception of temperature stimulus,BP,1
GO:0050953,1,0.664797205,0,38,sensory perception of light stimulus,BP,1
GO:0050954,1,0.413423578,0,85,sensory perception of mechanical stimulus,BP,1
GO:0050955,1,0.977539907,0,2,thermoception,BP,1
GO:0050957,1,0.992752435,0,1,equilibrioception,BP,1
GO:0050960,1,0.988750447,0,1,detection of temperature stimulus involved in thermoception,BP,1
GO:0050961,1,0.902963419,0,9,detection of temperature stimulus involved in sensory perception,BP,1
GO:0050962,1,0.940345923,0,6,detection of light stimulus involved in sensory perception,BP,1
GO:0050965,1,0.902963419,0,9,detection of temperature stimulus involved in sensory perception of pain,BP,1
GO:0050966,1,0.923723206,0,7,detection of mechanical stimulus involved in sensory perception of pain,BP,1
GO:0050968,1,0.988750447,0,1,detection of chemical stimulus involved in sensory perception of pain,BP,1
GO:0050974,1,0.813924749,0,19,detection of mechanical stimulus involved in sensory perception,BP,1
GO:0050975,1,0.977453321,0,2,sensory perception of touch,BP,1
GO:0050982,1,0.77794443,0,23,detection of mechanical stimulus,BP,1
GO:0050992,1,0.988662821,0,1,dimethylallyl diphosphate biosynthetic process,BP,1
GO:0050993,1,0.988662821,0,1,dimethylallyl diphosphate metabolic process,BP,1
GO:0050994,1,0.592612567,0,48,regulation of lipid catabolic process,BP,1
GO:0050995,1,0.811829985,0,19,negative regulation of lipid catabolic process,BP,1
GO:0050996,1,0.768960679,0,24,positive regulation of lipid catabolic process,BP,1
GO:0050999,1,0.764884492,0,24,regulation of nitric-oxide synthase activity,BP,1
GO:0051000,1,0.855148292,0,14,positive regulation of nitric-oxide synthase activity,BP,1
GO:0051001,1,0.924532873,0,7,negative regulation of nitric-oxide synthase activity,BP,1
GO:0051006,1,0.912794015,0,8,positive regulation of lipoprotein lipase activity,BP,1
GO:0051012,1,0.980940324,0,2,microtubule sliding,BP,1
GO:0051013,1,0.946520249,0,5,microtubule severing,BP,1
GO:0051014,1,0.914979263,0,8,actin filament severing,BP,1
GO:0051016,1,0.845841749,0,15,barbed-end actin filament capping,BP,1
GO:0051017,1,0.293043782,0,113,actin filament bundle assembly,BP,1
GO:0051023,1,0.883229068,0,11,regulation of immunoglobulin secretion,BP,1
GO:0051024,1,0.923753799,0,7,positive regulation of immunoglobulin secretion,BP,1
GO:0051025,1,0.967088852,0,3,negative regulation of immunoglobulin secretion,BP,1
GO:0051026,1,0.988662931,0,1,chiasma assembly,BP,1
GO:0051029,1,0.945542079,0,5,rRNA transport,BP,1
GO:0051030,1,0.955410895,0,4,snRNA transport,BP,1
GO:0051031,1,0.956443826,0,4,tRNA transport,BP,1
GO:0051036,1,0.936057804,0,6,regulation of endosome size,BP,1
GO:0051037,1,0.977453359,0,2,regulation of transcription involved in meiotic cell cycle,BP,1
GO:0051038,1,0.98866293,0,1,negative regulation of transcription involved in meiotic cell cycle,BP,1
GO:0051039,1,0.988662916,0,1,positive regulation of transcription involved in meiotic cell cycle,BP,1
GO:0051040,1,0.977627507,0,2,regulation of calcium-independent cell-cell adhesion,BP,1
GO:0051041,1,0.988839133,0,1,positive regulation of calcium-independent cell-cell adhesion,BP,1
GO:0051042,1,0.988662842,0,1,negative regulation of calcium-independent cell-cell adhesion,BP,1
GO:0051043,1,0.845587594,0,15,regulation of membrane protein ectodomain proteolysis,BP,1
GO:0051044,1,0.893629642,0,10,positive regulation of membrane protein ectodomain proteolysis,BP,1
GO:0051045,1,0.946286453,0,5,negative regulation of membrane protein ectodomain proteolysis,BP,1
GO:0051055,1,0.676757346,0,35,negative regulation of lipid biosynthetic process,BP,1
GO:0051057,1,0.697616103,0,36,positive regulation of small GTPase mediated signal transduction,BP,1
GO:0051058,1,0.582695227,0,50,negative regulation of small GTPase mediated signal transduction,BP,1
GO:0051066,1,0.988662733,0,1,dihydrobiopterin metabolic process,BP,1
GO:0051068,1,0.988662931,0,1,dihydrolipoamide metabolic process,BP,1
GO:0051086,1,0.98866293,0,1,chaperone mediated protein folding independent of cofactor,BP,1
GO:0051088,1,0.967734593,0,3,PMA-inducible membrane protein ectodomain proteolysis,BP,1
GO:0051089,1,0.988662931,0,1,constitutive protein ectodomain proteolysis,BP,1
GO:0051095,1,0.913174525,0,8,regulation of helicase activity,BP,1
GO:0051096,1,0.933946316,0,6,positive regulation of helicase activity,BP,1
GO:0051097,1,0.977771135,0,2,negative regulation of helicase activity,BP,1
GO:0051100,1,0.252513723,0,123,negative regulation of binding,BP,1
GO:0051102,1,0.988923312,0,1,DNA ligation involved in DNA recombination,BP,1
GO:0051103,1,0.914034638,0,8,DNA ligation involved in DNA repair,BP,1
GO:0051123,1,0.76169226,0,24,RNA polymerase II preinitiation complex assembly,BP,1
GO:0051124,1,0.961763323,0,5,synaptic growth at neuromuscular junction,BP,1
GO:0051126,1,0.924662892,0,7,negative regulation of actin nucleation,BP,1
GO:0051132,1,0.913751038,0,8,NK T cell activation,BP,1
GO:0051133,1,0.934840184,0,6,regulation of NK T cell activation,BP,1
GO:0051134,1,0.977453359,0,2,negative regulation of NK T cell activation,BP,1
GO:0051135,1,0.956411655,0,4,positive regulation of NK T cell activation,BP,1
GO:0051136,1,0.938715261,0,6,regulation of NK T cell differentiation,BP,1
GO:0051138,1,0.947190184,0,5,positive regulation of NK T cell differentiation,BP,1
GO:0051140,1,0.96738181,0,3,regulation of NK T cell proliferation,BP,1
GO:0051141,1,0.988662915,0,1,negative regulation of NK T cell proliferation,BP,1
GO:0051142,1,0.978476804,0,2,positive regulation of NK T cell proliferation,BP,1
GO:0051150,1,0.817860529,0,19,regulation of smooth muscle cell differentiation,BP,1
GO:0051151,1,0.903949549,0,10,negative regulation of smooth muscle cell differentiation,BP,1
GO:0051152,1,0.945406474,0,5,positive regulation of smooth muscle cell differentiation,BP,1
GO:0051156,1,0.800910492,0,20,glucose 6-phosphate metabolic process,BP,1
GO:0051160,1,0.988662939,0,1,L-xylitol catabolic process,BP,1
GO:0051164,1,0.988662939,0,1,L-xylitol metabolic process,BP,1
GO:0051176,1,0.961707499,0,4,positive regulation of sulfur metabolic process,BP,1
GO:0051177,1,0.979202234,0,2,meiotic sister chromatid cohesion,BP,1
GO:0051180,1,0.776724996,0,23,vitamin transport,BP,1
GO:0051181,1,0.725764655,0,29,cofactor transport,BP,1
GO:0051182,1,0.913740243,0,8,coenzyme transport,BP,1
GO:0051187,1,0.651555607,0,38,cofactor catabolic process,BP,1
GO:0051189,1,0.923442863,0,7,prosthetic group metabolic process,BP,1
GO:0051204,1,0.912794472,0,8,protein insertion into mitochondrial membrane,BP,1
GO:0051205,1,0.824266213,0,17,protein insertion into membrane,BP,1
GO:0051208,1,0.439812231,0,77,sequestering of calcium ion,BP,1
GO:0051209,1,0.459032742,0,73,release of sequestered calcium ion into cytosol,BP,1
GO:0051216,1,0.298315405,0,110,cartilage development,BP,1
GO:0051220,1,0.792362192,0,21,cytoplasmic sequestering of protein,BP,1
GO:0051224,1,0.237420851,0,129,negative regulation of protein transport,BP,1
GO:0051228,1,0.979352887,0,2,mitotic spindle disassembly,BP,1
GO:0051230,1,0.979352887,0,2,spindle disassembly,BP,1
GO:0051231,1,0.955411354,0,4,spindle elongation,BP,1
GO:0051232,1,0.98866317,0,1,meiotic spindle elongation,BP,1
GO:0051238,1,0.917083167,0,8,sequestering of metal ion,BP,1
GO:0051250,1,0.335371854,0,98,negative regulation of lymphocyte activation,BP,1
GO:0051255,1,0.955440542,0,4,spindle midzone assembly,BP,1
GO:0051256,1,0.977453372,0,2,mitotic spindle midzone assembly,BP,1
GO:0051257,1,0.98866404,0,1,meiotic spindle midzone assembly,BP,1
GO:0051261,1,0.461062395,0,74,protein depolymerization,BP,1
GO:0051262,1,0.252924458,0,124,protein tetramerization,BP,1
GO:0051279,1,0.593865321,0,48,regulation of release of sequestered calcium ion into cytosol,BP,1
GO:0051280,1,0.902537347,0,9,negative regulation of release of sequestered calcium ion into cytosol,BP,1
GO:0051281,1,0.78345723,0,23,positive regulation of release of sequestered calcium ion into cytosol,BP,1
GO:0051282,1,0.443633025,0,76,regulation of sequestering of calcium ion,BP,1
GO:0051283,1,0.448633885,0,75,negative regulation of sequestering of calcium ion,BP,1
GO:0051284,1,0.902537347,0,9,positive regulation of sequestering of calcium ion,BP,1
GO:0051289,1,0.397253814,0,83,protein homotetramerization,BP,1
GO:0051290,1,0.747254262,0,27,protein heterotetramerization,BP,1
GO:0051291,1,0.316671321,0,104,protein heterooligomerization,BP,1
GO:0051292,1,0.914311189,0,9,nuclear pore complex assembly,BP,1
GO:0051293,1,0.7222145,0,31,establishment of spindle localization,BP,1
GO:0051294,1,0.756272711,0,26,establishment of spindle orientation,BP,1
GO:0051295,1,0.980170033,0,2,establishment of meiotic spindle localization,BP,1
GO:0051298,1,0.610418657,0,45,centrosome duplication,BP,1
GO:0051300,1,0.979108385,0,2,spindle pole body organization,BP,1
GO:0051303,1,0.615360066,0,44,establishment of chromosome localization,BP,1
GO:0051305,1,0.955556775,0,4,chromosome movement towards spindle pole,BP,1
GO:0051307,1,0.883936929,0,11,meiotic chromosome separation,BP,1
GO:0051309,1,0.988662931,0,1,female meiosis chromosome separation,BP,1
GO:0051310,1,0.685483381,0,34,metaphase plate congression,BP,1
GO:0051311,1,0.977454472,0,2,meiotic metaphase plate congression,BP,1
GO:0051315,1,0.923658623,0,7,attachment of mitotic spindle microtubules to kinetochore,BP,1
GO:0051316,1,0.988662931,0,1,attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation,BP,1
GO:0051339,1,0.832088525,0,18,regulation of lyase activity,BP,1
GO:0051340,1,0.912794868,0,8,regulation of ligase activity,BP,1
GO:0051342,1,0.923268905,0,7,regulation of cyclic-nucleotide phosphodiesterase activity,BP,1
GO:0051343,1,0.955411009,0,4,positive regulation of cyclic-nucleotide phosphodiesterase activity,BP,1
GO:0051344,1,0.966369888,0,3,negative regulation of cyclic-nucleotide phosphodiesterase activity,BP,1
GO:0051349,1,0.893968477,0,11,positive regulation of lyase activity,BP,1
GO:0051350,1,0.920317844,0,8,negative regulation of lyase activity,BP,1
GO:0051351,1,0.923268693,0,7,positive regulation of ligase activity,BP,1
GO:0051352,1,0.988662913,0,1,negative regulation of ligase activity,BP,1
GO:0051354,1,0.825626752,0,17,negative regulation of oxidoreductase activity,BP,1
GO:0051365,1,0.96659436,0,3,cellular response to potassium ion starvation,BP,1
GO:0051382,1,0.927656325,0,7,kinetochore assembly,BP,1
GO:0051383,1,0.910310535,0,9,kinetochore organization,BP,1
GO:0051386,1,0.881870782,0,12,regulation of neurotrophin TRK receptor signaling pathway,BP,1
GO:0051387,1,0.959115115,0,4,negative regulation of neurotrophin TRK receptor signaling pathway,BP,1
GO:0051388,1,0.938696302,0,6,positive regulation of neurotrophin TRK receptor signaling pathway,BP,1
GO:0051391,1,0.988662931,0,1,tRNA acetylation,BP,1
GO:0051410,1,0.977452881,0,2,detoxification of nitrogen compound,BP,1
GO:0051413,1,0.988742968,0,1,response to cortisone,BP,1
GO:0051414,1,0.959666921,0,4,response to cortisol,BP,1
GO:0051415,1,0.949308474,0,5,microtubule nucleation by interphase microtubule organizing center,BP,1
GO:0051418,1,0.927895961,0,7,microtubule nucleation by microtubule organizing center,BP,1
GO:0051438,1,0.652001599,0,38,regulation of ubiquitin-protein transferase activity,BP,1
GO:0051443,1,0.797880578,0,20,positive regulation of ubiquitin-protein transferase activity,BP,1
GO:0051444,1,0.845940473,0,15,negative regulation of ubiquitin-protein transferase activity,BP,1
GO:0051446,1,0.839976531,0,16,positive regulation of meiotic cell cycle,BP,1
GO:0051451,1,0.893868499,0,10,myoblast migration,BP,1
GO:0051452,1,0.726847945,0,28,intracellular pH reduction,BP,1
GO:0051455,1,0.988662931,0,1,attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation,BP,1
GO:0051458,1,0.966397272,0,3,corticotropin secretion,BP,1
GO:0051459,1,0.977453044,0,2,regulation of corticotropin secretion,BP,1
GO:0051461,1,0.988662615,0,1,positive regulation of corticotropin secretion,BP,1
GO:0051462,1,0.988663451,0,1,regulation of cortisol secretion,BP,1
GO:0051463,1,0.988663451,0,1,negative regulation of cortisol secretion,BP,1
GO:0051480,1,0.153545411,0,172,regulation of cytosolic calcium ion concentration,BP,1
GO:0051481,1,0.898411965,0,11,negative regulation of cytosolic calcium ion concentration,BP,1
GO:0051482,1,0.874668406,0,12,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,BP,1
GO:0051489,1,0.699254373,0,33,regulation of filopodium assembly,BP,1
GO:0051490,1,0.96641281,0,3,negative regulation of filopodium assembly,BP,1
GO:0051491,1,0.797237453,0,21,positive regulation of filopodium assembly,BP,1
GO:0051492,1,0.526417857,0,59,regulation of stress fiber assembly,BP,1
GO:0051496,1,0.666903017,0,37,positive regulation of stress fiber assembly,BP,1
GO:0051497,1,0.858985198,0,14,negative regulation of stress fiber assembly,BP,1
GO:0051503,1,0.863644536,0,13,adenine nucleotide transport,BP,1
GO:0051510,1,0.988662792,0,1,regulation of unidimensional cell growth,BP,1
GO:0051511,1,0.988662792,0,1,negative regulation of unidimensional cell growth,BP,1
GO:0051541,1,0.95765306,0,4,elastin metabolic process,BP,1
GO:0051542,1,0.990268193,0,1,elastin biosynthetic process,BP,1
GO:0051547,1,0.920626617,0,8,regulation of keratinocyte migration,BP,1
GO:0051548,1,0.988662832,0,1,negative regulation of keratinocyte migration,BP,1
GO:0051549,1,0.931189662,0,7,positive regulation of keratinocyte migration,BP,1
GO:0051560,1,0.783358446,0,22,mitochondrial calcium ion homeostasis,BP,1
GO:0051561,1,0.893307053,0,10,positive regulation of mitochondrial calcium ion concentration,BP,1
GO:0051562,1,0.955480071,0,4,negative regulation of mitochondrial calcium ion concentration,BP,1
GO:0051563,1,0.97745634,0,2,smooth endoplasmic reticulum calcium ion homeostasis,BP,1
GO:0051567,1,0.790893811,0,24,histone H3-K9 methylation,BP,1
GO:0051568,1,0.619935152,0,44,histone H3-K4 methylation,BP,1
GO:0051569,1,0.787112528,0,22,regulation of histone H3-K4 methylation,BP,1
GO:0051570,1,0.848160945,0,16,regulation of histone H3-K9 methylation,BP,1
GO:0051571,1,0.871621171,0,13,positive regulation of histone H3-K4 methylation,BP,1
GO:0051572,1,0.947672086,0,5,negative regulation of histone H3-K4 methylation,BP,1
GO:0051573,1,0.911922984,0,9,negative regulation of histone H3-K9 methylation,BP,1
GO:0051574,1,0.947518505,0,5,positive regulation of histone H3-K9 methylation,BP,1
GO:0051580,1,0.895259828,0,10,regulation of neurotransmitter uptake,BP,1
GO:0051581,1,0.966662592,0,3,negative regulation of neurotransmitter uptake,BP,1
GO:0051582,1,0.977453329,0,2,positive regulation of neurotransmitter uptake,BP,1
GO:0051583,1,0.977453218,0,2,dopamine uptake involved in synaptic transmission,BP,1
GO:0051584,1,0.988662931,0,1,regulation of dopamine uptake involved in synaptic transmission,BP,1
GO:0051589,1,0.860287602,0,14,negative regulation of neurotransmitter transport,BP,1
GO:0051590,1,0.820530615,0,18,positive regulation of neurotransmitter transport,BP,1
GO:0051594,1,0.966372364,0,3,detection of glucose,BP,1
GO:0051595,1,0.968375335,0,3,response to methylglyoxal,BP,1
